key,label,description
2,Amalgamation of results,The incorporation of the votes into a unified result. Also known as tabulation.
3,Boundary delimitation,The process for determining the way in which constituency or electoral area boundaries are drawn; it deals with the division of a country into electoral districts and the allocation of electors to electoral districts and polling sites. Sometimes called districting or boundary demarcation
9,Candidate nomination,"The process by which political parties/organizations and/or individual candidates submit their intention to compete in an election, often subject to meeting qualification criteria set out in the law"
11,Certification of results,The formal endorsement and confirmation of election results
12,Chair,The head of an independent EMB under the Independent or Mixed Model of electoral management. Formal titles may include chief electoral commissioner or EMB President
13,Chief electoral officer,"A title that may be used for the head of an EMB secretariat. Other titles that may be used include chief executive officer, director of elections, secretary-general and EMB Secretary. Where the EMB is independent, the chief electoral officer can in some cases also be a member of the EMB"
14,Civil registry,"A centrally held master database containing information generated by the administrative infrastructure of a country involving the mandatory collection of information from many sources and containing information such as the name, gender, nationality, age, marital status and address of all citizens. Electoral registers and other documents may be drawn from it when required"
15,Code of conduct,"A set of general rules of behaviour, for example for members and/or staff of an EMB, or for political parties, with respect to participation in an electoral process"
20,Domestic observer,An individual or representative of an organization who is authorized and accredited to observe and assess the performance of the election process in her/his own country
21,Electoral administration,The measures necessary for conducting or implementing any aspect of an electoral process
22,Electoral administrator,"A person who directs, manages and/or implements any of the operations of an EMB on a day-to-day basis"
28,Electoral management,"The process of execution of the activities, tasks and functions of electoral administration"
37,Independent Model of electoral management,"An electoral management model where elections are organized and managed by an EMB which is institutionally independent and autonomous from the executive branch of government, and which has and manages its own budget"
38,Jurisdiction,"Refers to the competence and geographic scope of an organization's direction making, decision-making and implementation powers"
41,Member (of an EMB),A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB
44,National Election Commission,"A common title for an independent EMB under the Independent or Mixed Model of electoral management, with competencies over the entire territory of a country"
49,Polling official,An member of staff who participates in the administration of a polling station on polling day. Polling officials may or may not be members of the staff of an EMB
50,Polling station,A venue established for the purpose of polling and controlled by polling officials
51,Pre-electoral period,"One of three periods of the electoral cycle, during which planning and preparation for the conduct of elections take place, and during which legal and procedural provisions are reviewed"
52,Regional EMB,An electoral management body at a sub-national level
59,Tabulation,The process of compiling the result of counting of votes cast in an electoral process. Also known as amalgamation of results
61,Term of office,The period of time for which a member of an organization serves following election or appointment
66,Block Vote (BV),"Block Vote is a plurality/majority system used in multi-member districts. Electors have as many votes as there are candidates to be elected. The candidates with the highest vote totals win the seats. Usually voters vote for candidates rather than parties and in most systems may use as many, or as few, of their votes as they wish."
76,Borda Count (BC),Borda Count (BC) - A candidate-centred preferential system used in either single- or multimember districts in which voters use numbers to mark their preferences on the ballot paper and each preference marked is then assigned a value using equal steps. These are summed and the candidate(s) with the highest total(s) is/are declared elected.
84,Appeal,"A request made to a higher EDRB to confirm, reverse or modify a decision made by a lower EDRB."
86,Arbitrator,"An attorney or other person selected to hear a case and settle a dispute without a formal trial, through a process of arbitration."
87,Boundary delimitation,The process for determining the way in which constituency or electoral area boundaries are drawn; it deals with the division of a country into electoral districts and the allocation of electors to electoral districts and polling sites. Sometimes called districting or boundary demarcation. Also known as delimitation.
91,Certification of results,The formal endorsement and confirmation of the announcement of electoral results.
92,Civic education,An information and/or educational programme which is designed to increase the comprehension and knowledge of citizens’ rights and responsibilities.
95,Code of conduct,"A set of general rules of behaviour, for example for members and/or staff of an EMB, or for political parties, with respect to participation in an electoral process."
96,Common law,"Law developed by judges through decisions of courts and similar tribunals (also called case law), rather than through legislative statutes or executive branch action. These decisions stand as precedents and the principle of stare decisis applies."
99,Conciliation,A method of dispute resolution by means of discussion and settlement without going to court.
106,Electoral administration,The measures necessary for conducting or implementing any aspect of an electoral process.
108,Electoral challenge,A complaint lodged by an electoral participant or stakeholder who believes that his or her electoral rights have been violated.
128,Electoral regulations,"Rules subsidiary to legislation made, often by the EMB or the ministry within which an EMB is located, under powers contained in the electoral law which govern aspects of the organization and administration of an election."
134,Filing fee,A legal requirement to pay any fee or deposit as a condition for the submission of a complaint.
139,Incompatibility,A limitation in legislation of candidacy for or election to a representative position based on the perceived undesirability of a person who already holds one public position gaining access to or holding another.
140,Independent Model EMB,"An EMB model where elections are organized and managed by an EMB which is institutionally independent and autonomous of the executive branch of government, and which has and manages its own budget."
147,Legislation,"The body of law made by the legislative process, also called statute law. Written laws passed by a Parliament, Congress or other legislative body at national or local level."
148,Legislative challenge,Those legal instruments provided for in the constitution or statutes of some countries which grant powers to legislative bodies or other political assemblies to formally resolve certain electoral challenges or issue the certification or the final result of an election.
153,Member (of an EDRB or EMB),A person appointed or elected to serve on the body or committee which directs the conduct and implementation of the powers and functions of the EDRB or EMB.
157,Offence,A breach of a law or rule; an illegal act.
158,Party registration,The act of enrolling political parties to participate in elections on the basis of eligibility criteria and submitted signatures and deposits.
163,Recall,A direct democracy instrument that allows a specified number of citizens to demand a vote of the electorate on whether an elected holder of public office should be removed from that office before the end of his/her term of office.
167,Registration of political parties and candidates,The act of reviewing the validity of applications to participate in an election of political parties and candidates and accepting those that meet defined criteria.
173,Stare decisis,A principle of legal decision making that provides that a previous judicial decision must be followed in identical circumstances.
174,Tabulation,The process of compiling the result of counting of votes cast in an electoral process. Also known as amalgamation of results.
180,Writ of certiorari,"A writ that a superior appellate court issues at its discretion to an inferior court, ordering it to produce a certified record of a particular case it has tried in order to determine whether any irregularities or errors occurred that justify a review of the case."
181,Electoral gender quota,"Mandatory or targeted percentage of candidates for public elections. An electoral quota for women may be constitutional, legislative or be in the form of a political party quota. It may apply to the number of women candidates proposed by a party for election, or may take the form of reserved seats in the legislature. Quotas and other affirmative action strategies may apply to minorities based on regional, ethnic, linguistic or religious cleavages. However this Database focuses on gender quotas, that is quotas that apply to women for elective office."
182,Legislated candidate quota,This quota provision reserves a number of places on electoral lists for female candidates.
183,Reserved seats,Reserves a number of seats in a legislated assembly for women.
186,Certified results,Final election results duly certified and published after all challenges are addressed.
187,Continuous electoral register,Method of voter registration in which voter data is continuously collected and updated between electoral events.
195,Final results,Completion of the counting of all or nearly all votes by an electoral management body and thereby establishing election outcomes.
199,Periodic electoral register,Method of voter registration in which old voter data is discarded and a new voter register is created for each electoral event.
200,Polling station,Venue established for the purpose of polling and controlled by the electoral management body.
201,Population/civil registry,"A centrally held master database containing information generated by the administrative infrastructure of a country involving the mandatory collection of information from many sources and containing information such as the name, gender, nationality, age, marital status and address of all citizens. Electoral registers and other documents may be drawn from it when required."
203,Regional EMB,Electoral management body at a sub-national level. See also glossary term: Electoral management body (EMB).
208,Voter-verified paper audit trail (VVPAT),Independent verification system for voting machines that generates a paper receipt for each voter and all votes cast. The voter can confirm that the receipt matches his or her choice. The receipts are kept in the polling station and can be used for manual recounts.
209,Abuse of state resources,"The use of state and public sector powers and resources by incumbent politicians or political parties to further their own prospects of election, in violation of legal and/or other norms and responsibilities governing the exercise of public office."
210,Allocation calculation,"Deals on how public funding is distributed between those that have a right to receive it. Ways of calculating how public funding should be provided could be: either equally to all eligible political parties, or in proportion to, for example, seats or votes won. Most common is a combination of the two."
211,Anonymous donations,"Support, contributions or donations to political parties and/or candidates where the identity of the donor or contributor is not disclosed."
212,Auditing agency,"The body responsible for reviewing the political parties and/or candidates' financial statements declaring their income, expenditure and assets and to monitor their accounts. Such financial reports are often submitted to the auditing agency on an annual basis or specifically in relation to the electoral campaign."
213,Ban on contributions,A prohibition to limit the influx of money or other types of support given a candidate's campaign or political party by an individual or an organization.
215,Contribution limit,"A maximum amount of money that an individual, organization or political party may contribute to a candidate's campaign or to a political party annually or per election period."
219,Donations/contributions,"A gift taking various forms such as cash, services or anything else of value given from an individual or an organization with the purpose of supporting a certain political party or candidate."
221,Electoral campaign period,A specified period of time during which official campaigning is regulated.
226,Foreign interests,"In order to limit influence over national politics to forces within the country, it is quite common to ban foreign interests from making donations to political parties. Among the entities prohibited to contribute directly or indirectly are governments, corporations, organizations or individuals who are not citizens; that do not reside in the country or have a large share of foreign ownership."
240,Public funding,A system where monetary assistance is provided by the government to qualified political parties or candidates for their campaigns or regular party activities.
251,Registration,"The number of registered voters. The figure represents the number of names on the voters' register at the time that the registration process closes (cut-off date), as reported by the electoral management body. For more information about Voter Registration please see the ACE Electoral Knowledge Network: Voter Registration."
254,Voter turnout,"The total number of votes cast (valid or invalid) divided by the number of names on the voters' register, expressed as a percentage."
255,VAP turnout,"The total number of votes cast (valid or invalid) divided by the Voting Age Population figure, expressed as a percentage."
