comparison_topic,segment_id,segment_text,tagged_ccp_topics
Amalgamation of results. The incorporation of the votes into a unified result. Also known as tabulation.,Congo_2015/677,It examines the claims and proclaims the definitive results of the ballot.,
Amalgamation of results. The incorporation of the votes into a unified result. Also known as tabulation.,Mauritania_2012/336,It examines the complaints and proclaims the results of the ballot.,
Boundary delimitation. The process for determining the way in which constituency or electoral area boundaries are drawn; it deals with the division of a country into electoral districts and the allocation of electors to electoral districts and polling sites. Sometimes called districting or boundary demarcation,Austria_2013/581,"The Federal territory will be divided into self-contained constituencies whose boundaries may not overlap the Laender boundaries; these constituencies shall be sub-divided into self-contained regional constituencies. The number of deputies will be divided among the qualified voters of the constituencies (electoral bodies) in proportion to the number of nationals who in accordance with the result of the last census had their principal domicile in a particular constituency plus the number of those who on the day of the census did not have their principal domicile in Federal territory, but were entered on the electoral register of a municipality pertaining to that particular constituency; the number of deputies allocated to a constituency will be divided in the same way among the regional constituencies. The National Council electoral regulations shall provide for a final distribution procedure relating to the whole Federal territory whereby in accordance with the principles of proportional representation which ensures a balance between the seats allocated to the parties standing for election in the constituencies and the distribution of the as yet unallocated seats. A division of the electorate into other electoral bodies is not admissible.","['lhselect', 'district']"
Boundary delimitation. The process for determining the way in which constituency or electoral area boundaries are drawn; it deals with the division of a country into electoral districts and the allocation of electors to electoral districts and polling sites. Sometimes called districting or boundary demarcation,Malta_2016/780,The boundaries of electoral divisions for the purpose of any general elections to be held after the dissolution of Parliament after the 1st of September 2007 shall be those boundaries as existing on that date with such adjustments made in accordance with the provisions of the proviso to sub-article (4B) of this article as may be necessary in order that the electoral divisions for those elections shall comply with the provisions of the second proviso of subarticle (4) of this article and of article 61A of this Constitution.,
"Candidate nomination. The process by which political parties/organizations and/or individual candidates submit their intention to compete in an election, often subject to meeting qualification criteria set out in the law",Finland_2011/200,"The right to nominate a candidate in the election for President is held by any registered political party from whose candidate list at least one Representative was elected to the Parliament in the most recent parliamentary elections, as well as by any group of twenty thousand persons who have the right to vote. The time of the election and the  procedure in the election of a President are laid down by an Act.",
"Candidate nomination. The process by which political parties/organizations and/or individual candidates submit their intention to compete in an election, often subject to meeting qualification criteria set out in the law",Samoa_2017/502,a party or organisation that has political aims and is desirous of taking part in an election where such party or organisation is not registered as a political party under an Act; or,
Certification of results. The formal endorsement and confirmation of election results,Kenya_2010/2216,declare the result of the election; and,
Certification of results. The formal endorsement and confirmation of election results,Congo_2015/677,It examines the claims and proclaims the definitive results of the ballot.,
Certification of results. The formal endorsement and confirmation of election results,Lesotho_2018/1013,"to ascertain, publish and declare the results of elections an referenda;",['referen']
Certification of results. The formal endorsement and confirmation of election results,Uganda_2017/894,"to ascertain, publish and declare in writing under its seal the results of the elections and referenda;",['referen']
Certification of results. The formal endorsement and confirmation of election results,East_Timor_2002/1163,to validate and proclaim the results of the electoral process.,
Certification of results. The formal endorsement and confirmation of election results,Albania_2016/988,constitutionality of the referendum and verification of its results;,['referen']
Certification of results. The formal endorsement and confirmation of election results,Colombia_2015/1407,"To count the votes in all national elections, to declare the results of the election, and to issue the certifications as appropriate.",
Certification of results. The formal endorsement and confirmation of election results,Mexico_2015/805,Declaring the validity of the election and issuing the electoral certification for the elected deputies and senators;,
Certification of results. The formal endorsement and confirmation of election results,Mexico_2015/826,Declaring the validity of the election and issuing the electoral certification for the elected local officers;,
Chair. The head of an independent EMB under the Independent or Mixed Model of electoral management. Formal titles may include chief electoral commissioner or EMB President,Myanmar_2015/2055,The President shall appoint the person who is nominated as the Chairperson of the Self-Administered Division or the Self-Administered Zone concerned.,
"Chief electoral officer. A title that may be used for the head of an EMB secretariat. Other titles that may be used include chief executive officer, director of elections, secretary-general and EMB Secretary. Where the EMB is independent, the chief electoral officer can in some cases also be a member of the EMB",United_Kingdom_2013/15983,The person elected under paragraph (a) of subsection (1) is to be known as the Presiding Officer or by such other title as the standing orders may provide; and the person elected under paragraph (b) of that subsection is to be known as the Deputy Presiding Officer or by such other title as the standing orders may provide.,
"Civil registry. A centrally held master database containing information generated by the administrative infrastructure of a country involving the mandatory collection of information from many sources and containing information such as the name, gender, nationality, age, marital status and address of all citizens. Electoral registers and other documents may be drawn from it when required",Chile_2021/1369,"For the purposes of ordering the process, the Electoral Service will identify the indigenous voters and the people to which they belong, in the register referred to in article 33 of Law No. 18,556, constitutional organic on the Electoral Registration System and Electoral Service, whose consolidated, coordinated and systematized text was established by decree with force of law No. 5, of the Ministry General Secretariat of the Presidency, of 2017, on the basis of the following information available in the State: a) list of those persons who are included in the National Registry of Indigenous Qualities; b) administrative data that contain the obvious Mapuche surnames, in accordance with the provisions of the respective exempt resolution of the Director of the National Corporation for Indigenous Development; c) list of indigenous surnames of applicants to the Indigenous Scholarship Program (elementary, middle and higher education) since 1993; d) Special Indigenous Registry for the election of indigenous councilors of the National Indigenous Development Corporation; e) Registry of Indigenous Communities and Associations; f) Registration for the election of commissioners of the Easter Island Development Commission. Said list must be published electronically by the Electoral Service up to eighty days before the election. In the cases of letters a), c), d), e) and f), the information must be delivered by the National Corporation for Indigenous Development to the Electoral Service within the terms determined by the latter; In the case of letter b), the information must be delivered by the Civil Registry and Identification Service, in the same terms.",
"Civil registry. A centrally held master database containing information generated by the administrative infrastructure of a country involving the mandatory collection of information from many sources and containing information such as the name, gender, nationality, age, marital status and address of all citizens. Electoral registers and other documents may be drawn from it when required",Nicaragua_2014/948,"To organize under its authority the Central Register of the Civil Status of Persons, the certification of citizenship, and the electoral census.",
"Civil registry. A centrally held master database containing information generated by the administrative infrastructure of a country involving the mandatory collection of information from many sources and containing information such as the name, gender, nationality, age, marital status and address of all citizens. Electoral registers and other documents may be drawn from it when required",Egypt_2019/297,"The state shall enter the name of every citizen in the voter registration database without request from the citizen himself, once the citizen meets voting requirements. The state shall also purge this database periodically in accordance with the law. The state guarantees the safety, neutrality and fairness of referendum and election procedures. The use of public funds, government agencies, public facilities, places of worship, business sector establishments and non-governmental organizations and institutions for political purposes and electioneering is forbidden.",['camppubf']
"Civil registry. A centrally held master database containing information generated by the administrative infrastructure of a country involving the mandatory collection of information from many sources and containing information such as the name, gender, nationality, age, marital status and address of all citizens. Electoral registers and other documents may be drawn from it when required",Peru_2021/964,"The National Identification and Civil Status Registry is in charge of the registration of births, marriages, divorces, deaths, and other acts modifying civil status. It issues the respective certificates, and prepares and updates the electoral roll. Likewise, it provides the National Election Board and the National Office of Elections with the information necessary to perform their duties. It maintains identification records of citizens and issues identification documents.",
"Code of conduct. A set of general rules of behaviour, for example for members and/or staff of an EMB, or for political parties, with respect to participation in an electoral process",Zimbabwe_2017/2155,"a code of conduct for political parties, candidates and other persons participating in elections or referendums;",['partreg']
Domestic observer. An individual or representative of an organization who is authorized and accredited to observe and assess the performance of the election process in her/his own country,New_Zealand_2014/10789,"verifying that a person who is, or has applied to be, registered as an elector is a person who the chief executive of the responsible department believes to be either—",
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Lesotho_2018/1015,to adjudicate complaints of alleged irregularities in any aspect of the electoral or referendum process at any stage other than in an election petition; and,['referen']
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,New_Zealand_2014/3570,relates to electoral matters or the conduct of any general election or by-election; and,
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Trinidad_and_Tobago_2007/595,"any responsibility for, or in connection with, the conduct of any election, or",
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Austria_2013/418,"to implement and organize elections, or,",
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Uruguay_2004/1366,To act in all matters relating to electoral acts or procedures;,
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Zambia_2016/711,The electoral process and system of administering elections shall ensure—,
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Malawi_2017/791,to determine electoral petitions and complaints related to the conduct of any elections;,
Electoral administration. The measures necessary for conducting or implementing any aspect of an electoral process,Solomon_Islands_2018/2020,countermand the election in which case the electoral procedure shall be commenced de novo; or,
"Electoral administrator. A person who directs, manages and/or implements any of the operations of an EMB on a day-to-day basis",New_Zealand_2014/7435,"authorise in writing or, if the appointment is made on polling day, orally, any person to act for the manager of the polling place in case of the manager’s absence.",
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Armenia_2015/1300,"The system of electoral commissions and their powers, procedure of formation and operation, and safeguards of activities shall be stipulated by the Electoral Code.",
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",New_Zealand_2014/6275,the body has in place procedures for the democratic conduct of its elections; and,
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",New_Zealand_2014/6285,the body has in place procedures for the democratic conduct of its elections; and,
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Tanzania_2005/51,specification of the duties and functions of the Electoral Commission and the procedure for every election which shall be conducted under the direction and supervision of the Electoral Commission.,['ecom']
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Andorra_1993/433,Electoral roll. Participation in the management of the electoral procedure and administration under the terms provided for by the law.,
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Uruguay_2004/1366,To act in all matters relating to electoral acts or procedures;,
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Zambia_2016/711,The electoral process and system of administering elections shall ensure—,
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Zambia_2016/3295,implement the electoral process;,
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Nepal_2016/2544,"Other functions, duties and powers and working procedures of the Election Commission shall be as regulated by law.",
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Malawi_2017/779,The duties and functions of the Electoral Commission shall include—,['district']
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Ukraine_2019/524,the organisation and procedure for conducting elections and referendums;,['referen']
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Uzbekistan_2011/514,"The procedure for the elections, organization of the work and powers of self-governing bodies shall be regulated by law.",
"Electoral management. The process of execution of the activities, tasks and functions of electoral administration",Angola_2010/878,"Electoral procedures shall be organised by independent electoral administration bodies whose structure, functions, composition and responsibilities shall be defined by law.",['ecom']
"Independent Model of electoral management. An electoral management model where elections are organized and managed by an EMB which is institutionally independent and autonomous from the executive branch of government, and which has and manages its own budget",Central_African_Republic_2016/721,"The National Authority of Elections is a perennial, independent and autonomous organ.",
"Jurisdiction. Refers to the competence and geographic scope of an organization's direction making, decision-making and implementation powers",Hungary_2016/642,shall decide on matters of territorial organisation falling within his or her functions and powers;,
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Azerbaijan_2016/38,"The election, appointment or confirmation of officials, whose election, appointment or confirmation are within the competence of the legislative organs and (or) the executive power.",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Lesotho_2018/1041,"The Electoral Commission shall not, in the performance of its functions, be subject to the direction or control of any person or authority.",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,New_Zealand_2014/3379,"Chief Electoral Officer means the Chief Electoral Officer appointed under this Act; and includes any person authorised to exercise the powers, duties, and functions of the Chief Electoral Officer",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,New_Zealand_2014/3411,Electoral Commissioner or Commissioner means a member of the Electoral Commission,['ecom']
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,New_Zealand_2014/3412,electoral official means any person that the Electoral Commission employs or engages for the purpose of assisting with the performance of its functions,
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,New_Zealand_2014/3922,all or any of the Commission’s functions or powers that relate to registration of electors.,
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,New_Zealand_2014/3989,"Every electoral official must exercise or perform his or her powers, duties, and functions in accordance with any directions given by the Electoral Commission.",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,New_Zealand_2014/8716,"correct any error or omission on the part of the Electoral Commission or any person to whom the Electoral Commission has delegated its functions, duties, or powers.",
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Nigeria_2011/4390,delegate any of its powers to any Resident Electoral Commissioner; and,
Member (of an EMB). A person appointed or elected to serve on the body or committee which directs the conduct of elections and the implementation of the powers and functions of the EMB,Seychelles_2017/1561,"Subject to this Constitution the Electoral Commission shall not, in the performance of its functions, be subject to the direction or control of any person or authority.",
