idea_topic,segment_id,segment_text,tagged_ccp_topics
"Acción de amparo. Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma.",Dominican_Republic_2015/467,"All persons have the right to an action of amparo in order to demand before the courts, for themselves or by those who act in their name, immediate protection of their fundamental rights, not protected by habeas corpus, when they are violated or threatened by the action or omission of any public authority or of individuals, in order put into effect the fulfillment of a law or administrative act and in order to guarantee collective and diffuse rights and interests. In accordance with the law, the proceeding is preferential, summary, oral, public, free, and not subject to formalities.",
"Acción de amparo. Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma.",Guatemala_1993/1242,"[The recourse of] amparo is instituted for the purpose of protecting persons against the threats of violations of their rights or to restore the rule of the same when the violation has occurred. There is no area which is not subject to [the recourse of] amparo, and it will always proceed whenever the acts, resolutions, provisions, or laws of [an] authority should imply a threat, restraint, or violation of the rights which the Constitution and the laws guarantee.",
"Acción de amparo. Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma.",Bolivia_2009/823,"The Action for Constitutional Protection (Accion de Amparo Constitucional) shall take place against the illegal or unjustified acts or omissions of public servants or of individuals or collectives, who restrict, suppress or threaten to restrict or suppress rights recognized by the Constitution and the law.",
"Acción de amparo. Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma.",Peru_2021/1097,"The writ of amparo, which operates in case of an act or omission by any authority, official, or person that violates or threatens the other rights recognized by the Constitution, with the exception of those mentioned in the following subparagraph. It does not take effect against legal rules or court orders from regular judicial proceedings.",['amparo']
"Acción de inaplicabilidad por inconstitucionalidad. “acción que el ordenamiento supremo franquea para evitar que la aplicación de uno o más preceptos legales, invocados en una gestión judicial pendiente, produzca efectos, formal o sustantivamente, contrarios al Código Político. Trátase, por ende, de un control concreto de la constitucionalidad de la ley, centrado en el caso sub lite y cuya resolución se limita a qué disposiciones legales determinadas, en sí mismas, resulten, en su sentido y alcance intrínseco, inconciliables con el texto y el espíritu de la Carta Fundamental” (STC R. 1390-09, véase “Control de constitucionalidad”).",Chile_2021/797,"In the case of number 7, once the declaration of inapplicability of a legal provision has been declared on a previous ruling, in accordance with number 6 of this article, there shall be public action to request the Court the declaration of unconstitutionality, notwithstanding the power of the Court to declare it ex officio. The respective constitutional organic law shall set forth the admissibility requirements, in the event that the public action is exercised, and shall regulate the procedure that will have to be followed to act ex officio.",
"Acción de inaplicabilidad por inconstitucionalidad. “acción que el ordenamiento supremo franquea para evitar que la aplicación de uno o más preceptos legales, invocados en una gestión judicial pendiente, produzca efectos, formal o sustantivamente, contrarios al Código Político. Trátase, por ende, de un control concreto de la constitucionalidad de la ley, centrado en el caso sub lite y cuya resolución se limita a qué disposiciones legales determinadas, en sí mismas, resulten, en su sentido y alcance intrínseco, inconciliables con el texto y el espíritu de la Carta Fundamental” (STC R. 1390-09, véase “Control de constitucionalidad”).",Tanzania_2005/318,"Where in any proceedings it is alleged that any law enacted or any action taken by the Government or any other authority abrogates or abridges any of the basic rights, freedoms and duties set out in Articles 12 to 29 of this Constitution, and the High Court is satisfied that the law or action concerned, to the extent that it conflicts with this Constitution, is void, or is inconsistent with this Constitution, then the High Court, if it deems fit, or if the circumstances or public interest so requires, instead of declaring that such law or action is void, shall have power to decide to afford the Government or other authority concerned an opportunity to rectify the defect found in the law or action concerned within such a period and in such manner as the High Court shall determine, and such law or action shall be deemed to be valid until such time the defect is rectified or the period determined by the High Court lapses, whichever is the earlier.","['uncon', 'interp']"
"Acción de inaplicabilidad por inconstitucionalidad. “acción que el ordenamiento supremo franquea para evitar que la aplicación de uno o más preceptos legales, invocados en una gestión judicial pendiente, produzca efectos, formal o sustantivamente, contrarios al Código Político. Trátase, por ende, de un control concreto de la constitucionalidad de la ley, centrado en el caso sub lite y cuya resolución se limita a qué disposiciones legales determinadas, en sí mismas, resulten, en su sentido y alcance intrínseco, inconciliables con el texto y el espíritu de la Carta Fundamental” (STC R. 1390-09, véase “Control de constitucionalidad”).",Pakistan_2018/1551,"All orders made, proceedings taken and acts done by any authority or person, which were made, taken or done, or purported to have been made, taken or done, before the commencement of the Constitution (Amendment) Order, 1985, in exercise of the powers derived from any law referred to in clause (1), or in execution of any orders made by any authority in the exercise or purported exercise of powers as aforesaid, shall, notwithstanding any judgment of any court or tribunal, including the Supreme Court and a High Court, be deemed to be and always to have been validly made, taken or done and shall not be called in question in any court, including the Supreme Court and a High Court, on any ground whatsoever.",
"Acción de inconstitucionalidad. Es la acción pública que da inicio al proceso tendiente a la declaración de inconstitucionalidad de un precepto legal determinado, bajo el presupuesto procesal que se haya declarado previamente inaplicable exactamente el mismo precepto por sentencia del TC, y cuyo objeto es obtener tal declaración por la mayoría de cuatro quintos de los Ministros del TC, resolviéndose así su expulsión y derogación del ordenamiento jurídico sin efecto retroactivo.",Malawi_2017/2188,"All legal actions which, at the commencement of this Constitution, are pending or being undertaken before any court other than before the Supreme Court of Appeal, the High Court, a Magistrate Court, a District Traditional Appeal Court, District Traditional Court, a Grade A Traditional Court, or a Grade B Traditional Court shall be commenced or continued before the High Court of Malawi or before such Magistrate’s court or District Traditional Appeal Court or District Traditional Court or Grade A Traditional Court or Grade B Traditional Court as the Registrar of the High Court shall direct.",
"Acción de protección. Acción constitucional establecida para tutelar los derechos taxativamente enumerados en el art. 20 de la Constitución, frente a toda acción u omisión ilegal o arbitraria que represente una amenaza, perturbación o privación para el legítimo ejercicio de los mismos. La acción de protección es una garantía constitucional establecida para proteger los derechos listados en el art. 20 y se le conoce también como “recurso” de protección (véase “Garantías constitucionales”). El TC ha estimado que la acción de protección es una acción de carácter cautelar, cuyo objeto es constituir una garantía rápida y eficaz para restablecer el imperio del derecho y asegurar la protección del afectado (STC R. 1557-09).",Ecuador_2021/779,"Protection proceedings shall be aimed at ensuring the direct and efficient safeguard of the rights enshrined in the Constitution and can be filed whenever there is a breach of constitutional rights as a result of deeds or omissions by any non-judiciary public authority against public policies when they involve removing the enjoyment or exercise of constitutional rights; and when the violation proceeds from a particular person, if the violation of the right causes severe damage, if it provides improper public services, if it acts by delegation or concession, or if the affected person is in a status of subordination, defenselessness or discrimination.",
Acción de reclamación por privación o des conocimiento de la nacionalidad. Acción constitucional establecida para tutelar el derecho a la nacionalidad frente a todo acto o resolución administrativa que prive o desconozca la nacionalidad chilena de una persona.,Chile_2021/60,"The person affected by an act or resolution of an administrative authority that deprives him of his Chilean citizenship or does not take his citizenship into account, may appeal, by himself or through anyone in his name, within the period of thirty days, before the Supreme Court, which shall hear the case as a jury and in full court. The file of the appeal will suspend the effects of the act or resolution appealed.",
